"Project","Project_Class","Forecast","Actuals","Difference","PercentDifference","Timeperiod"
"ACTA","Operations",6,6.5,-0.5,-.0769230769230769,"Apr 2021"
"ACTA","Operations",37,9,28,3.11111111111111,"Aug 2021"
"ACTA","Operations",0,0,0,0,"Dec 2020"
"ACTA","Operations",21,12,9,.75,"Dec 2021"
"ACTA","Operations",38,2,36,18.00,"Feb 2021"
"ACTA","Operations",7,5.8,1.2,.206896551724138,"Feb 2022"
"ACTA","Operations",4,0,4,Inf,"Jan 2021"
"ACTA","Operations",0,0,0,0,"Jan 2022"
"ACTA","Operations",58,13.5,44.5,3.2962962962963,"Jul 2021"
"ACTA","Operations",36,6.5,29.5,4.53846153846154,"Jun 2021"
"ACTA","Operations",49,10,39,3.90,"Mar 2021"
"ACTA","Operations",5,6,-1,-.166666666666667,"Mar 2022"
"ACTA","Operations",54,16.5,37.5,2.27272727272727,"May 2021"
"ACTA","Operations",64,28,36,1.28571428571429,"Nov 2021"
"ACTA","Operations",38,36,2,.0555555555555556,"Oct 2021"
"ACTA","Operations",109,88,21,.238636363636364,"Sep 2021"
"AEM-CARES","Operations",0,0,0,0,"Apr 2021"
"AEM-CARES","Operations",0,343,-343,-100,"Dec 2020"
"AEM-CARES","Operations",0,166,-166,-100,"Feb 2021"
"AEM-CARES","Operations",0,170,-170,-100,"Jan 2021"
"AEM-CARES","Operations",0,184,-184,-100,"Mar 2021"
"AEM-CARES","Operations",0,0,0,0,"May 2021"
"AEM-CRDC","Operations",457,510.5,-53.5,-10.4799216454456,"Apr 2021"
"AEM-CRDC","Operations",498,503.5,-5.5,-1.09235352532274,"Aug 2021"
"AEM-CRDC","Operations",149,158.5,-9.5,-5.99369085173502,"Dec 2020"
"AEM-CRDC","Operations",1158,1200,-42,-3.5,"Dec 2021"
"AEM-CRDC","Operations",254,184.5,69.5,37.6693766937669,"Feb 2021"
"AEM-CRDC","Operations",1092,1131,-39,-3.44827586206897,"Feb 2022"
"AEM-CRDC","Operations",236.5,117,119.5,102.136752136752,"Jan 2021"
"AEM-CRDC","Operations",1082,1179,-97,-8.2273112807464,"Jan 2022"
"AEM-CRDC","Operations",418,440,-22,-5,"Jul 2021"
"AEM-CRDC","Operations",543,555,-12,-2.16216216216216,"Jun 2021"
"AEM-CRDC","Operations",242,224.5,17.5,7.79510022271715,"Mar 2021"
"AEM-CRDC","Operations",1284,1096,188,17.1532846715328,"Mar 2022"
"AEM-CRDC","Operations",395,476,-81,-17.0168067226891,"May 2021"
"AEM-CRDC","Operations",392,961,-569,-59.2091571279917,"Nov 2021"
"AEM-CRDC","Operations",458,521.5,-63.5,-12.176414189837,"Oct 2021"
"AEM-CRDC","Operations",463,486,-23,-4.73251028806584,"Sep 2021"
"AEM-DMS","Operations",24,31,-7,-22.5806451612903,"Apr 2021"
"AEM-DMS","Operations",92,212,-120,-56.6037735849057,"Aug 2021"
"AEM-DMS","Operations",56,113.5,-57.5,-50.6607929515419,"Dec 2020"
"AEM-DMS","Operations",142,132.5,9.5,7.16981132075472,"Dec 2021"
"AEM-DMS","Operations",104,116,-12,-10.3448275862069,"Feb 2021"
"AEM-DMS","Operations",190,128.5,61.5,47.8599221789883,"Feb 2022"
"AEM-DMS","Operations",116,164,-48,-29.2682926829268,"Jan 2021"
"AEM-DMS","Operations",190,118,72,61.0169491525424,"Jan 2022"
"AEM-DMS","Operations",168,142,26,18.3098591549296,"Jul 2021"
"AEM-DMS","Operations",64,112.5,-48.5,-43.1111111111111,"Jun 2021"
"AEM-DMS","Operations",95,60.5,34.5,57.0247933884297,"Mar 2021"
"AEM-DMS","Operations",204,209.5,-5.5,-2.62529832935561,"Mar 2022"
"AEM-DMS","Operations",64,38.5,25.5,66.2337662337662,"May 2021"
"AEM-DMS","Operations",134,335.5,-201.5,-60.0596125186289,"Nov 2021"
"AEM-DMS","Operations",80,47,33,70.2127659574468,"Oct 2021"
"AEM-DMS","Operations",109,62.5,46.5,74.4,"Sep 2021"
"AEM-ESF","Operations",0,0,0,NA,"Apr 2021"
"AEM-ESF","Operations",0,0,0,NA,"Aug 2021"
"AEM-ESF","Operations",0,0,0,NA,"Dec 2020"
"AEM-ESF","Operations",0,0,0,NA,"Dec 2021"
"AEM-ESF","Operations",152,0,152,Inf,"Feb 2021"
"AEM-ESF","Operations",0,0,0,NA,"Feb 2022"
"AEM-ESF","Operations",304,0,304,Inf,"Jan 2021"
"AEM-ESF","Operations",0,0,0,NA,"Jan 2022"
"AEM-ESF","Operations",0,0,0,NA,"Jul 2021"
"AEM-ESF","Operations",0,0,0,NA,"Jun 2021"
"AEM-ESF","Operations",184,0,184,Inf,"Mar 2021"
"AEM-ESF","Operations",0,224,-224,-100,"Mar 2022"
"AEM-ESF","Operations",0,0,0,NA,"May 2021"
"AEM-ESF","Operations",0,0,0,NA,"Nov 2021"
"AEM-ESF","Operations",0,0,0,NA,"Oct 2021"
"AEM-ESF","Operations",0,0,0,NA,"Sep 2021"
"AIR-NCSSLE","Operations",1,25,-24,-96,"Apr 2021"
"AIR-NCSSLE","Operations",1,1,0,0,"Aug 2021"
"AIR-NCSSLE","Operations",164,189,-25,-13.2275132275132,"Dec 2020"
"AIR-NCSSLE","Operations",21,4,17,425,"Dec 2021"
"AIR-NCSSLE","Operations",26,107,-81,-75.7009345794392,"Feb 2021"
"AIR-NCSSLE","Operations",34,33,1,3.03030303030303,"Feb 2022"
"AIR-NCSSLE","Operations",28.5,261,-232.5,-89.0804597701149,"Jan 2021"
"AIR-NCSSLE","Operations",27,33.5,-6.5,-19.4029850746269,"Jan 2022"
"AIR-NCSSLE","Operations",1,41.5,-40.5,-97.5903614457831,"Jul 2021"
"AIR-NCSSLE","Operations",10.5,32,-21.5,-67.1875,"Jun 2021"
"AIR-NCSSLE","Operations",24,74.5,-50.5,-67.7852348993289,"Mar 2021"
"AIR-NCSSLE","Operations",35,26,9,34.6153846153846,"Mar 2022"
"AIR-NCSSLE","Operations",1,1,0,0,"May 2021"
"AIR-NCSSLE","Operations",13,6,7,116.666666666667,"Nov 2021"
"AIR-NCSSLE","Operations",30,16,14,87.5,"Oct 2021"
"AIR-NCSSLE","Operations",10,11,-1,-9.09090909090909,"Sep 2021"
"Business Development","Overhead",0,332.5,-332.5,-100,"Apr 2021"
"Business Development","Overhead",0,457,-457,-100,"Aug 2021"
"Business Development","Overhead",0,180,-180,-100,"Dec 2020"
"Business Development","Overhead",0,164.5,-164.5,-100,"Dec 2021"
"Business Development","Overhead",0,288.5,-288.5,-100,"Feb 2021"
"Business Development","Overhead",0,170,-170,-100,"Feb 2022"
"Business Development","Overhead",0,284.5,-284.5,-100,"Jan 2021"
"Business Development","Overhead",0,296,-296,-100,"Jan 2022"
"Business Development","Overhead",0,527.5,-527.5,-100,"Jul 2021"
"Business Development","Overhead",0,719,-719,-100,"Jun 2021"
"Business Development","Overhead",0,402.8,-402.8,-100,"Mar 2021"
"Business Development","Overhead",0,300,-300,-100,"Mar 2022"
"Business Development","Overhead",0,236.5,-236.5,-100,"May 2021"
"Business Development","Overhead",0,193,-193,-100,"Nov 2021"
"Business Development","Overhead",0,338.5,-338.5,-100,"Oct 2021"
"Business Development","Overhead",0,395,-395,-100,"Sep 2021"
"Corporate Administration","Overhead",1322,606.5,715.5,117.971970321517,"Apr 2021"
"Corporate Administration","Overhead",176,566.5,-390.5,-68.9320388349515,"Aug 2021"
"Corporate Administration","Overhead",24,539,-515,-95.5473098330241,"Dec 2020"
"Corporate Administration","Overhead",184,628,-444,-70.7006369426752,"Dec 2021"
"Corporate Administration","Overhead",1092,463,629,135.85313174946,"Feb 2021"
"Corporate Administration","Overhead",202,542.5,-340.5,-62.7649769585253,"Feb 2022"
"Corporate Administration","Overhead",87,520.5,-433.5,-83.2853025936599,"Jan 2021"
"Corporate Administration","Overhead",186,665.5,-479.5,-72.0510894064613,"Jan 2022"
"Corporate Administration","Overhead",1176,442,734,166.06334841629,"Jul 2021"
"Corporate Administration","Overhead",1274,410,864,210.731707317073,"Jun 2021"
"Corporate Administration","Overhead",1475,609.7,865.3,141.92225684763,"Mar 2021"
"Corporate Administration","Overhead",302,775,-473,-61.0322580645161,"Mar 2022"
"Corporate Administration","Overhead",1313,614,699,113.843648208469,"May 2021"
"Corporate Administration","Overhead",215,648,-433,-66.820987654321,"Nov 2021"
"Corporate Administration","Overhead",181,574.5,-393.5,-68.4943429068755,"Oct 2021"
"Corporate Administration","Overhead",223,890.3,-667.3,-74.9522632820398,"Sep 2021"
"DATALAB","Operations",612,674.5,-62.5,-9.26612305411416,"Apr 2021"
"DATALAB","Operations",371,492.5,-121.5,-24.6700507614213,"Aug 2021"
"DATALAB","Operations",552,412,140,33.9805825242718,"Dec 2020"
"DATALAB","Operations",230,217,13,5.99078341013825,"Dec 2021"
"DATALAB","Operations",520,446.5,73.5,16.461366181411,"Feb 2021"
"DATALAB","Operations",246,344.5,-98.5,-28.5921625544267,"Feb 2022"
"DATALAB","Operations",614,539,75,13.9146567717996,"Jan 2021"
"DATALAB","Operations",270,240.5,29.5,12.2661122661123,"Jan 2022"
"DATALAB","Operations",315,407,-92,-22.6044226044226,"Jul 2021"
"DATALAB","Operations",415,424,-9,-2.12264150943396,"Jun 2021"
"DATALAB","Operations",666,612.5,53.5,8.73469387755102,"Mar 2021"
"DATALAB","Operations",410,510,-100,-19.6078431372549,"Mar 2022"
"DATALAB","Operations",545,464,81,17.4568965517241,"May 2021"
"DATALAB","Operations",315,374,-59,-15.7754010695187,"Nov 2021"
"DATALAB","Operations",273,307.5,-34.5,-11.219512195122,"Oct 2021"
"DATALAB","Operations",279,310,-31,-10,"Sep 2021"
"DDOT","Operations",160,128.5,31.5,24.5136186770428,"Apr 2021"
"DDOT","Operations",176,156,20,12.8205128205128,"Aug 2021"
"DDOT","Operations",60,130.5,-70.5,-54.0229885057471,"Dec 2020"
"DDOT","Operations",152,149.5,2.5,1.67224080267559,"Feb 2021"
"DDOT","Operations",152,142.5,9.5,6.66666666666667,"Jan 2021"
"DDOT","Operations",168,145.5,22.5,15.4639175257732,"Jul 2021"
"DDOT","Operations",176,159.5,16.5,10.3448275862069,"Jun 2021"
"DDOT","Operations",184,173.5,10.5,6.05187319884726,"Mar 2021"
"DDOT","Operations",160,151.5,8.5,5.61056105610561,"May 2021"
"DDOT","Operations",0,0,0,NA,"Nov 2021"
"DDOT","Operations",0,0,0,NA,"Oct 2021"
"DDOT","Operations",168,99.5,68.5,68.8442211055276,"Sep 2021"
"ESSIN 04","Operations",243,277,-34,-12.2743682310469,"Apr 2021"
"ESSIN 04","Operations",283,262,21,8.01526717557252,"Aug 2021"
"ESSIN 04","Operations",117,166.5,-49.5,-29.7297297297297,"Dec 2020"
"ESSIN 04","Operations",218,182.5,35.5,19.4520547945205,"Dec 2021"
"ESSIN 04","Operations",179,171,8,4.67836257309941,"Feb 2021"
"ESSIN 04","Operations",217,205.5,11.5,5.59610705596107,"Feb 2022"
"ESSIN 04","Operations",187,215,-28,-13.0232558139535,"Jan 2021"
"ESSIN 04","Operations",265,250,15,6,"Jan 2022"
"ESSIN 04","Operations",239,205,34,16.5853658536585,"Jul 2021"
"ESSIN 04","Operations",260,313.5,-53.5,-17.0653907496013,"Jun 2021"
"ESSIN 04","Operations",216,213.5,2.5,1.17096018735363,"Mar 2021"
"ESSIN 04","Operations",194,227.5,-33.5,-14.7252747252747,"Mar 2022"
"ESSIN 04","Operations",271,274,-3,-1.09489051094891,"May 2021"
"ESSIN 04","Operations",240,278.5,-38.5,-13.8240574506284,"Nov 2021"
"ESSIN 04","Operations",198,314.5,-116.5,-37.0429252782194,"Oct 2021"
"ESSIN 04","Operations",203,249,-46,-18.4738955823293,"Sep 2021"
"ESSIN 13","Operations",548,527.5,20.5,3.88625592417062,"Apr 2021"
"ESSIN 13","Operations",472,488,-16,-3.27868852459016,"Aug 2021"
"ESSIN 13","Operations",403,453,-50,-11.037527593819,"Dec 2020"
"ESSIN 13","Operations",0,1,-1,-100,"Dec 2021"
"ESSIN 13","Operations",471,454.5,16.5,3.63036303630363,"Feb 2021"
